ham,Hello how are you
ham,See you tomorrow
ham,Good morning
ham,Happy Birthday
ham,Where are you now
ham,Please send notes
ham,Let's go for lunch
ham,Are you coming
ham,See you soon
ham,Thank you
ham,How was your day
ham,Meet me at college
ham,Did you finish assignment
ham,Let's study together
ham,Good night
ham,I am on my way
ham,Please call me back
ham,What are you doing
ham,Can you help me
ham,I reached home
ham,Let's watch a movie
ham,Are you available
ham,See you in class
ham,Bring your laptop
ham,Project submission tomorrow
ham,Meeting starts at 10
ham,Please check email
ham,Lunch break now
ham,Class cancelled today
ham,Good luck for exam
ham,Let's attend workshop
ham,Can we talk now
ham,I need your help
ham,See you after class
ham,Your package arrived
ham,Text me later
ham,When is the exam
ham,Let's discuss project
ham,Hello friend
ham,See you at library
ham,Can you send pdf
ham,Reached safely
ham,Let's revise notes
ham,Going to college
ham,Please join meeting
ham,Assignment completed
ham,Call me tonight
ham,See you later
spam,Congratulations you won a free iPhone
spam,Claim your cash prize now
spam,Win 10000 dollars instantly
spam,Limited offer click now
spam,Get free recharge today
spam,Exclusive deal available now
spam,You are selected as winner
spam,Click here to claim reward
spam,Free vacation waiting for you
spam,Act fast limited offer
spam,Win big cash prize today
spam,You won lottery worth 1 million
spam,Get free gift card now
spam,Urgent claim your reward
spam,Special promotion for you
spam,Earn money from home
spam,Click link to win cash
spam,You have been chosen
spam,Receive free bonus instantly
spam,Exclusive discount available
spam,Get rich quick offer
spam,Free entry in lucky draw
spam,Congratulations claim prize now
spam,Your account won reward
spam,Click now for free gift
spam,Winner winner cash reward
spam,You are lucky today
spam,Limited time free access
spam,Free coupons available
spam,Claim your smartphone now
spam,Get free Netflix subscription
spam,Win free laptop today
spam,Congratulations cash waiting
spam,Claim free shopping voucher
spam,Exclusive reward unlocked
spam,You won free tickets
spam,Get bonus reward now
spam,Special winner announcement
spam,Act now free membership
spam,Huge discount available today
spam,Congratulations free iPhone winner
spam,Claim reward immediately
spam,Win free mobile phone
spam,Click here for bonus money
spam,Limited offer free recharge
spam,Earn money online instantly
spam,Free gift card available
spam,Lottery winner contact us
spam,Get premium account free
spam,Claim reward before expiry